,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
45,4.33,6.49,3.02,3.04,4.22,3.83,5.22,4.46,3.85,4.28,2.8,3.31,3.52,3.84,3.73
46,4.32,6.49,3.04,3.13,4.19,3.86,5.23,4.47,3.95,4.28,2.87,3.75,3.51,3.88,3.86
47,4.29,6.49,3.02,3.1,4.04,3.8,5.06,4.47,3.95,4.28,2.92,3.74,3.51,3.86,3.54
48,4.22,6.49,3.07,3.11,4.14,3.93,5.07,4.47,3.96,4.28,3.39,3.74,3.52,3.66,3.45
49,4.22,6.49,3.15,3.23,4.41,3.86,5.15,4.47,4.01,4.28,3.72,3.74,3.58,3.69,3.31
50,4.22,6.49,3.15,3.27,4.49,3.9,5.04,4.53,3.96,4.47,3.72,3.74,3.66,3.68,3.15
51,4.22,6.49,3.17,3.27,4.62,3.94,5.26,4.68,3.84,4.32,3.72,3.74,3.72,3.61,3.23
52,4.22,6.49,3.17,3.29,4.74,4.01,5.25,4.63,3.78,4.28,3.78,3.52,3.66,3.61,3.4
53,4.22,6.49,3.35,3.33,4.52,3.89,5.05,4.64,3.84,4.28,3.9,3.29,3.5,3.74,3.46
54,4.28,6.49,3.36,3.31,4.49,3.9,5.33,4.62,3.8,4.28,3.91,3.29,3.15,3.75,3.49
55,4.32,6.49,3.23,3.3,4.59,3.96,5.37,4.56,3.78,4.28,3.87,3.29,3.23,3.8,3.27
56,4.29,6.65,3.4,3.33,4.54,3.87,5.21,4.53,3.82,4.28,3.95,3.47,3.32,3.85,3.54
57,4.25,6.85,3.31,3.37,4.61,4.02,5.12,4.73,3.83,4.28,3.95,3.84,3.36,3.94,3.75
58,4.25,6.85,3.52,3.39,4.65,4.33,5.01,4.69,3.87,4.36,4.05,3.89,3.49,3.92,3.43
59,4.25,6.85,3.42,3.25,4.6,4.31,5.26,4.75,3.88,4.28,4.17,3.6,3.71,3.79,3.57
60,4.25,6.85,3.28,3.33,4.81,3.93,5.25,4.71,3.81,4.28,4.54,3.66,3.64,3.49,3.49
61,4.31,6.85,3.34,3.21,4.8,3.96,5.43,4.93,3.77,4.28,4.62,3.95,3.64,3.37,3.92
62,4.36,6.68,3.27,3.3,4.97,4.14,5.35,5.32,3.78,4.3,4.57,3.99,3.81,3.32,4.21
63,4.44,6.47,3.28,3.08,5.1,3.96,5.16,5.92,3.96,4.62,4.89,3.95,3.65,3.11,4
64,4.39,6.15,3.27,3.27,4.9,3.92,5.4,5.82,4,4.66,5.14,4.13,3.42,3.82,4.03
65,4.37,5.82,3.27,3.25,4.69,4.14,5.13,5.39,4.13,4.84,5.08,4.07,3.61,4.21,4.08
66,4.4,5.79,3.26,3.2,4.67,4.38,5.24,5.12,4.43,5.22,5.06,4.08,3.71,3.33,4.06
67,4.49,5.79,3.34,3.2,4.87,4.67,5.22,4.9,4.34,5.1,4.74,3.97,3.73,3.17,4.48
68,4.47,5.79,3.33,2.36,4.7,5.05,5.21,4.77,4.45,5.06,4.61,4.27,3.76,3.17,4.48
69,4.46,5.79,3.98,3.2,4.95,5.69,5.27,4.86,4.77,5.08,4.84,4.38,4.22,3.17,5.25
70,4.45,5.95,4.19,3.52,5.6,5.2,5.22,4.85,4.5,5.41,4.77,4.26,4.11,3.89,4.83
71,4.48,6.3,4.49,3.36,6.44,5.2,5.18,5.2,4.73,5.45,4.64,4.53,3.55,4.68,4.68
72,4.48,6.49,4.38,3.3,5.46,5.58,5.21,5.31,4.97,5.45,4.92,4.59,3.84,4.95,5.14
73,4.38,6.49,3.99,3.5,5.44,5.69,4.97,5.34,4.83,5.45,4.71,4.39,3.43,5.19,5.34
74,4.45,6.65,3.93,3.65,5.4,6.68,5.16,5.27,5,5.45,4.74,4,3.51,5.09,5.74
75,4.52,7.04,3.91,3.8,6.57,6.76,5.17,5.34,5.16,5.45,4.81,4.29,3.48,5.07,5.68
76,4.45,7.2,4.18,3.62,6.49,5.92,5.16,5.28,5.96,5.94,4.72,4.33,3.63,5.11,5.75
77,4.48,7.2,4.31,3.41,7.08,5.84,5.23,5.35,7.14,6.57,4.83,4.29,4.71,5.42,5.76
78,4.62,7.36,4.32,3.75,7.64,5.47,4.91,5.37,6.81,7.04,4.95,4.11,4.2,5.39,5.79
79,5.46,7.56,4.26,3.98,7.23,6.05,5.09,5.31,7.53,7.17,5.87,4.26,4.98,6.15,5.79
80,5.84,7.56,3.77,3.92,7.17,6.36,5.16,5.55,7.45,7.13,5.82,4.22,4.24,7.29,5.82
81,5.96,7.72,5.13,3.94,7.36,5.97,5.14,6.37,6.26,6.83,6.22,4.25,6.22,6.75,6.41
82,5.95,7.91,6.19,3.89,7.18,5.46,5.14,6.69,5.86,6.83,6.12,4.04,5.82,7.21,6.5
