,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
140,10.5,9.39,10.8,17.5,23.4,12.7,9.65,22.2,12.1,8.76,15.5
141,10.5,11.6,13.5,15.8,22.2,12.2,6.69,18.3,15,9.17,12.1
142,11.6,13.1,14.1,15.5,18.8,14.4,6.34,18,13.7,7.19,17.6
143,11.1,10.9,22.1,12.8,15.4,13.1,14.3,23.4,11.6,8.43,22.6
144,10.9,9.63,24,18.5,14.3,22.1,16.9,18.2,18.1,8.41,17.2
145,10.6,9.3,18.7,21.9,18.7,19.7,26.3,16.8,21.3,7.89,15.4
146,12.8,8.9,18.9,16.4,17.9,21.6,13.7,16.8,21.2,9.23,13.3
147,9.35,8.7,16.6,27.1,27.1,25.3,14.2,20.1,22.8,16.8,16.8
148,7.81,9.47,17.1,27.8,24.4,25.7,13.2,25.8,20.6,16.7,14.1
149,10.7,9.07,22.5,28,26.6,27.3,10.3,28.6,21.9,20,13.5
150,14.9,8.92,26,26,25.4,21.5,11,26.5,16.5,14.9,16.3
151,16.1,9.26,34.6,31,23.9,20.2,11,20.1,13.3,15.3,16.7
152,14.3,9.85,32.4,24.6,25.3,21.9,12.2,16.8,12,14,16.4
153,12.4,10.7,28.6,16.1,25.8,20,15.5,16.6,10.6,12.2,35.6
154,13.5,9.54,25.3,16.4,27.9,14.5,15.3,16.2,8,14,37.6
155,22.5,10.5,28.1,11.7,22.4,12,21.8,18,8.52,14.9,38.8
156,16.4,9.34,36.5,9.06,20.9,12.7,21.7,16.8,12,16.4,34.5
157,12.9,9.87,42.1,8.6,18.6,17.3,29.5,17,11.2,10.7,26.1
158,33.4,12.1,77.6,11,14.9,14.9,42.5,15.2,15.1,10.6,19.5
159,21.9,11.1,80.3,16.1,14.3,17.1,24.7,15.2,18.4,11.2,16.3
160,13.9,12.3,45.8,18.5,16.7,18.6,17.2,15.4,14.2,9.4,16.4
161,12.8,12.1,30.7,13.1,17.8,20.4,15,15.6,13.6,9.59,17.2
162,18.9,12,26.3,11,19.7,20.8,14.4,17.3,15.1,8.83,15.9
163,11.8,12.8,26.6,10.3,23,17.6,12,23.7,13.9,9.63,14.4
164,11.6,11.3,23.3,10,27.5,17.8,9.96,29,11.4,10.8,12.4
165,20,11.9,22.6,10.6,26.1,17.1,10.8,19.4,16.5,9.18,11.6
