time,GCFFracSC,GCF_SCTile,GC_GCF_SCTile,GC_SCTile
732809,13.0594625,10.3146362,9.799606705,4.555670007
732810,11.8025096,10.80157318,10.66111059,9.350126416
732811,7.257374286,7.065268284,6.971626557,6.971626557
732812,6.472937541,6.016480944,5.857290008,2.116303025
732813,3.917267534,3.661391516,3.455379717,1.929019571
732814,3.450603989,2.870118925,2.139713456,1.128382807
732815,0.329478416,0.24346849,0.24346849,0.24346849
732816,0.329478416,0.24346849,0.24346849,0
732817,3.507819084,3.69416612,3.69416612,3.450697631
732818,66.39708774,68.42869183,68.3350501,68.28354715
732819,33.86965072,35.57449199,35.57917408,35.57917408
732820,30.00145145,31.11246371,32.63414177,26.81430846
732821,31.25793614,33.00870868,32.48431501,32.48431501
732822,25.62758685,26.77685177,27.08118738,7.079314543
732823,6.881028186,6.709429722,6.714111808,6.714111808
732824,3.558713363,2.907575616,2.968442738,1.591909355
732825,3.742812997,2.743702594,2.650060867,0.547804102
732826,2.424946156,1.442082592,1.437400506,0.47289072
732827,2.506976309,1.484221369,1.22670662,0.355838562
732828,0.700299654,0.533757842,0.533757842,0.52439367
732829,0.759434404,0.505665324,0.505665324,0.14046259
732830,0.759434404,0.505665324,0.505665324,0.065549209
732831,1.644161438,1.634048132,1.634048132,1.634048132
732832,1.761213597,1.587227268,1.587227268,0.004682086
732833,1.761213597,1.587227268,1.587227268,0
732834,1.947279708,1.442082592,1.442082592,0.285607267
732835,1.877750726,1.385897556,1.385897556,0.046820863
732836,1.471532915,1.04878734,1.025376908,0.599307051
732837,0.600571215,0.557168274,0.454162375,0.444798202
732838,0.130536567,0.103005899,0.103005899,0.103005899
732839,0.699690982,0.168555108,0.159190935,0.056185036
732840,0.870680775,0.210693885,0.201329713,0.070231295
732841,1.487873396,0.889596404,0.566532447,0.515029497
732842,0.588631894,0.294971439,0.304335612,0.107687986
732843,1.083622062,0.674220433,0.248150576,0.098323813
732844,0.091909355,0.060867122,0.060867122,0.060867122
732845,0.096919187,0.065549209,0.065549209,0.004682086
732846,0.246699129,0.215375972,0.215375972,0.149826763
732847,1.863470362,1.938383744,1.938383744,1.723007772
732848,1.870821238,1.788556981,1.788556981,0.098323813
732849,1.870821238,1.788556981,1.788556981,0
732850,3.721462684,3.539657271,3.539657271,3.019945688
732851,0.757374286,0.435434029,0.435434029,0.318381871
732852,0.1615788,0.098323813,0.070231295,0.065549209
732853,0.825264538,0.416705684,0.159190935,0.131098417
732854,0.736679464,0.505665324,0.505665324,0.397977339
732855,0.822502107,0.692948778,0.571214533,0.065549209
732856,0.082826107,0.070231295,0.070231295,0.042138777
732857,0.164996723,0.131098417,0.070231295,0
732858,0.050238786,0,0,0
732859,0.050847458,0,0,0
732860,0.050847458,0,0,0
732861,0.50594625,0.683584605,0.683584605,0.683584605
732862,0.847036239,0.739769641,0.739769641,0.66485626
732863,0.847036239,0.739769641,0.739769641,0.014046259
732864,0.901816649,1.13774698,1.13774698,0.66485626
732865,1.729749977,2.767113026,2.584511658,1.648094391
732866,2.217857477,2.99185317,2.860754752,1.502949714
732867,2.843477854,3.211911228,2.930986047,1.690233168
732868,2.048131848,2.355089428,1.89156288,1.451446765
732869,1.272591067,1.240752879,1.081561944,0.14046259
732870,0.490916753,0.814683023,0.814683023,0.468208634
732871,0.539657271,0.875550145,0.847457627,0.032774604
732872,0.366841465,0.318381871,0.318381871,0.103005899
732873,0.559462496,0.05150295,0.05150295,0.05150295
732874,0.508427755,0.05150295,0.05150295,0
732875,0.526313325,0.229422231,0.229422231,0.177919281
732876,0.744919936,0.482254893,0.482254893,0.257514749
732877,0.775025751,0.515029497,0.515029497,0.032774604
732878,0.936042701,0.519711583,0.519711583,0.018728345
732879,0.936042701,0.519711583,0.519711583,0
732880,0.880372694,0.547804102,0.547804102,0.046820863
732881,0.210881169,0.206011799,0.196647626,0.163873022
732882,0.512782096,0.767862159,0.285607267,0.24346849
732883,0.77006274,1.259481225,0.285607267,0.112370072
732884,0.067375222,0.046820863,0.046820863,0.014046259
732885,0.101741736,0.060867122,0.009364173,0
732886,0.547008147,1.04878734,0.032774604,0.032774604
732887,0.096966008,0.070231295,0.042138777,0.042138777
732888,1.294737335,1.484221369,0.065549209,0.028092518
732889,0.043730686,0.037456691,0.032774604,0.009364173
732890,0,0,0,0
732891,0.153946999,0.19196554,0.014046259,0.014046259
732892,0.095561382,0.079595468,0.014046259,0
732893,0.012220245,0,0,0
732894,0.018166495,0.009364173,0,0
732895,0.006835846,0,0,0
732896,0.231669632,0.28092518,0.248150576,0.248150576
732897,0.226800262,0.299653526,0.299653526,0.05150295
732898,0.325498642,0.47289072,0.435434029,0.220058058
732899,0.2798483,0.19196554,0.177919281,0.08895964
732900,0.899616069,0.842775541,0.824047195,0.744451728
732901,1.262009551,1.104972376,1.104972376,0.318381871
732902,1.329244311,2.153759715,2.149077629,1.413990074
732903,0.283500328,0.135780504,0.126416331,0.084277554
732904,0,0,0,0
732905,0,0,0,0
732906,0,0,0,0
732907,0.751568499,1.109654462,1.109654462,1.109654462
732908,1.022005806,1.47017511,1.315666261,0.215375972
732909,0.95715891,0.941099354,0.941099354,0.941099354
732910,0.783968536,1.38121547,0.692948778,0.229422231
732911,0.517979212,0.510347411,0.510347411,0.084277554
732913,0.764397415,1.306302088,1.306302088,1.001966476
732914,0.207978275,0.177919281,0.210693885,0.210693885
732915,1.746324562,1.844742017,1.844742017,1.671504823
732916,5.031182695,6.156943534,6.156943534,4.368386553
732917,5.522193089,5.098792022,5.098792022,4.98642195
732918,5.586103568,5.173705403,5.173705403,0.074913381
732919,5.586103568,5.173705403,5.173705403,0
732920,5.586103568,5.173705403,5.173705403,0
732921,0.166869557,0.131098417,0.131098417,0.131098417
732922,0.08839779,0.103005899,0.084277554,0.056185036
732923,0.639666635,0.557168274,0.38393108,0.341792303
732924,0.519196554,0.482254893,0.444798202,0.070231295
732925,0.040593689,0.028092518,0.028092518,0.028092518
732926,0.109092612,0.098323813,0.023410432,0.004682086
732927,1.133439461,0.763180073,0.14046259,0.121734245
732928,1.011424291,0.810000936,0.692948778,0.692948778
732929,0.214111808,0.098323813,0.135780504,0.107687986
732930,1.416190655,2.767113026,0.304335612,0.238786403
732931,0.519290196,0.440116116,0.374566907,0.210693885
732932,0.585916284,0.936417268,0.646127915,0.533757842
732933,32.43501264,38.50547804,11.56007117,11.4804757
732934,2.461653713,1.975840434,2.120985111,2.120985111
732935,0.753113587,0.552486188,0.538439929,0.529075756
732936,0.803399195,0.327746044,0.33242813,0.168555108
732937,2.852139713,2.781159285,1.793239067,1.596591441
732938,0.628476449,0.028092518,0.037456691,0.037456691
732939,0.133860848,0.112370072,0.060867122,0.060867122
732940,0.305506134,0.121734245,0.074913381,0.074913381
732941,1.101179886,0.327746044,0.112370072,0.098323813
732942,0.730405469,0.323063957,0.313699785,0.313699785
732943,0.774042513,0.299653526,0.299653526,0.009364173
732944,1.814636202,1.41867216,1.395261729,1.104972376
732945,7.274651185,7.098042888,7.098042888,6.114804757
732946,8.140790336,8.020413896,7.908043824,1.961794175
732947,22.52617286,25.1193932,25.12875737,20.84464838
732948,21.59832381,22.61447701,24.38430565,17.75447139
732949,33.307894,35.04541624,30.76598932,28.83228767
732950,19.27366795,18.78921247,19.71158348,19.71158348
732951,15.99985954,15.56793707,15.56793707,15.56793707
732952,15.99985954,15.56793707,15.56793707,11.57411743
732953,15.17276899,14.46764678,14.46764678,14.09776196
732954,10.37704841,9.242438431,11.18550426,9.251802603
732955,10.78785467,10.33336455,10.23035865,9.340762244
732956,10.81182695,9.083247495,9.083247495,7.819084184
732957,10.82577957,9.083247495,9.083247495,6.058619721
732958,11.86595187,10.60024347,10.60024347,10.60024347
732959,8.886974436,7.978275119,9.036426632,8.933420732
732960,10.11410244,9.317351812,8.568217998,8.54012548
732961,6.700533758,5.000468209,7.613072385,7.416424759
732962,9.599494335,8.900646128,7.655211162,7.645846989
732963,9.120985111,7.196366701,7.196366701,7.196366701
732964,7.950323064,7.252551737,7.126135406,7.126135406
732965,9.931313793,9.176889222,7.065268284,5.019196554
732966,6.763882386,5.871336267,5.838561663,5.744919936
732967,6.810281862,5.567000655,5.431220152,3.375784249
732968,5.654602491,4.260698567,4.330929862,4.330929862
732969,7.511658395,6.564285045,4.288791085,4.288791085
732970,4.461185504,3.188500796,3.993819646,3.858039142
732971,7.960342729,6.840528139,4.368386553,4.35902238
732972,6.182929113,4.092143459,4.1811031,3.65670943
732973,10.07055904,8.516715048,7.388332241,6.732840154
732974,73.68639386,81.58535443,81.58535443,81.22483379
732975,33.63990074,28.2048881,29.83425414,28.22829853
732976,21.99246184,19.05140931,20.03932953,17.50632082
732977,26.55098792,27.40893342,27.50257515,17.15516434
732978,26.92850454,27.21696788,27.21696788,2.987171083
732979,26.78424946,26.40696694,26.36014608,3.488154322
732980,45.82971252,46.82554546,43.54808503,32.04888098
732981,32.85265474,32.51240753,32.68564472,27.63835565
732982,27.78968068,27.15610076,27.72731529,19.80990729
732983,23.33050847,21.93557449,21.66869557,19.33701657
732984,17.45154041,15.16995973,16.85082873,15.50238786
732985,18.23789681,16.42475887,15.36660736,12.98342541
732986,13.20708868,10.37550332,12.56203764,11.11059088
732987,15.30541249,13.99475606,12.66972563,11.82695009
732988,14.93819646,12.61354059,12.18747074,10.91394325
732989,13.81491713,12.07978275,12.07978275,9.513999438
732990,20.71827887,20.92424384,15.30105815,11.38683397
732991,14.98595374,12.70250023,13.66701002,12.40284671
732992,13.82039517,11.32596685,9.907294691,9.631051597
732993,9.559462496,7.041857852,7.547523176,6.714111808
732994,10.73284015,8.343477854,7.355557636,4.803820582
732995,10.06971627,6.82648188,7.364921809,5.946249649
732996,27.7008615,28.64500421,22.77366795,20.32493679
732997,19.56789025,19.7069014,19.80054312,8.128101882
732998,14.64996723,14.07903362,13.69042045,7.92677217
732999,13.50056185,11.83163218,11.62562038,7.706714112
733000,13.257187,11.41960858,11.53197865,4.995786122
