,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
119,11.8,13.7,13.6,11,26.1,21.9,14.5,15.2,22.2,16,14.1
120,10.8,11,13.3,13.8,23.3,20.8,16.1,18.4,20.4,15.8,13
121,12.3,12.6,12.3,17.2,19,19.5,19.1,22,19.9,13.7,15.6
122,12.5,12.5,11.4,18.9,24.1,21.8,22.7,20.4,22.3,13.6,16.5
123,12.3,12.7,10.8,19.9,13.3,20.5,22.1,22,22,13.7,17.4
124,14.8,13.5,11.8,19.9,10.8,18.5,20.2,17.2,18.9,16.7,18
125,14.1,15.5,10.1,18.8,11.6,15.1,19.3,21.7,22,18,15.9
126,13,14.8,9.77,13.4,12.2,15.3,15.7,25.2,22.9,18.4,13.5
127,14.2,11.5,10.4,12.2,13.3,17.9,15.9,22.8,21.9,18.5,15.1
128,14,11.8,10.1,11.5,12.7,18.3,17.6,22.2,17.3,17,15.5
129,13.8,12.3,10.6,11,16.8,18,18.3,25.2,17.4,21.6,15.8
130,13.3,13.7,11.4,12.2,18.4,15.8,15.5,26,16.9,19.8,16
131,13.9,13.6,12,14.4,17,18.2,15.8,19.6,17.2,20.1,15
132,12.7,13.9,13,14.8,15.2,17.2,12.6,15.7,17.1,20.7,13.7
133,14,16.6,13.2,13.9,17.3,14.5,11.1,18.5,22.3,19.8,16.4
134,15.8,15,14.1,12.4,15.8,13.9,11.3,20.2,23.7,19,15.7
135,15.5,12.8,14.9,12.9,13.1,13.6,12.8,15.5,20.5,19,18.3
136,15.2,12.2,17.1,12.6,12.9,15.7,11.9,17.7,22.3,18.3,19.4
137,12.9,14,17.2,13.4,12.5,15.1,12.6,19.7,27.2,18.8,17.6
138,12.9,11.8,14.1,12.6,14.3,15.3,14.4,22.5,29.2,18.4,14.2
139,12.8,12.5,20.5,13.7,13.9,14.6,16.1,24.5,20.8,16.9,14.2
140,12.6,12.9,15.6,14.1,20.7,14.3,13.3,26.5,21.3,15.8,17.6
141,13,15.9,13.4,12.9,24.6,14.7,11.5,22.5,20.5,17.8,15.6
142,13.5,17.6,13.3,13.4,23.6,16.1,11.3,23.5,18.8,16.3,16.7
143,12.9,16,15.3,12.3,20.6,15.9,14.3,26,17,18.2,21.8
144,12.9,15.4,17,13.9,21.2,17.4,14.5,23.8,19.7,16.9,24.9
145,12.9,13.3,16.4,15.7,39.2,17.8,17,23.9,38.4,19,27.3
146,14.1,13,17.3,15.2,30.5,19.6,14.1,23.9,43.6,24.5,24.6
147,11.9,13.2,16.6,20.6,30.8,21.8,14.8,17.2,45.3,40.2,21.3
148,11.9,14.4,17.8,23.9,36.9,27.9,14.9,21,26.9,32,26.9
149,11.9,13.2,18.9,22.6,32,24.2,13.6,34.2,21.7,27,33.6
150,13.6,12.4,27.4,22.7,32.3,24.1,14.3,38.6,24.6,22.4,41.8
151,15.4,12.3,35.5,26,30.5,21.9,14.5,28.1,21.5,19.2,31.1
152,17.3,17,32.8,23.8,36.8,25.9,16.2,20.8,20.7,18.7,32.2
153,20.1,17.9,26.1,21.2,30.2,27.5,18.6,21.3,19.3,17.3,57.6
154,29.9,19.1,31.3,20.4,37.1,23.7,17.2,20.6,16.9,17.3,60.1
155,45.6,20.6,36.1,19.3,31.4,30.7,25.8,20.6,16.5,19.7,59.9
156,49.2,19.6,52.4,16.2,29.6,24.2,33.2,19.4,16.8,19.9,57.8
157,45.3,17.4,53.5,14.4,26.2,20.6,40.8,18.9,18.3,16.5,41.8
158,118,19.3,65,18.2,20.6,18.3,41,19.3,25.4,16.8,42.4
159,76.8,17.2,67.5,27.5,20.2,19.9,29.8,20.1,28.8,17.1,32.3
160,36.9,19.7,54.5,30.8,21.7,18.9,24.6,17.6,22.4,16.7,31.8
161,28.1,26.3,40.1,31.2,23.6,19,21.9,22.7,24.9,15.9,29.4
162,26,29.9,34.4,24.7,25.3,20,21.9,48.7,21.1,17.1,26.6
163,20.9,22.4,37.8,19.6,33.9,22.1,22.8,47.5,20.8,17.6,24.4
164,20.7,19.7,32.1,17.5,51.3,23,19.3,52.3,19.9,21.1,22
165,67.8,19.6,36.5,17,52.3,24,18.8,67,29.9,18.7,22.9
