Day number,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
259,88.6,135,88.2,110,76.6,160,94.2,134,105,224
260,84.9,139,69.4,176,67.1,143,46,131,88.6,188
261,80.9,197,59.3,174,73.8,131,18.2,132,73.4,196
262,75.3,214,66.7,165,69.8,131,47.7,130,73.5,188
263,70.6,173,65.4,165,67.7,134,49.2,121,73,190
264,68.5,144,60.8,137,69.7,134,59.2,105,74,148
265,63.4,130,56.1,130,75.8,132,44.4,99.6,81.6,151
266,59.7,121,54.5,109,74.6,126,31.2,94.7,128,142
267,57.4,115,54.3,97.5,63,116,103,96.5,146,139
268,64.2,89.7,54.6,88.9,66.6,103,107,104,281,140
269,62.5,99.3,53.4,92.3,78.3,88.4,107,105,222,144
270,71.5,87.8,53.9,109,83.4,80.8,107,123,248,141
271,70.6,104,49.9,117,76.2,82.4,104,103,225,142
272,71.5,104,49,137,63.4,89.2,101,130,183,141
273,76.6,98.1,46.7,130,66.2,108,108,132,158,131
274,72.9,77.6,46.2,123,68.2,122,111,134,137,114
275,68.5,84.2,44,117,51.8,124,113,124,133,115
276,67,70.3,43.5,123,49.1,124,109,121,130,95.2
277,63.4,64,42.4,124,50,105,109,128,129,92.6
278,61.5,61.9,41.4,122,52,97.7,109,132,129,86.9
279,57.5,58,39.5,115,52.3,88.8,91.2,133,120,79.9
280,55.6,56.2,38.4,105,51.5,89.3,83.4,105,92.3,93.5
281,52.7,50.2,38.2,89.8,51.9,83.9,84,103,84.7,93
282,50.9,51.1,36.3,75.1,50.6,83.2,76.6,97.1,80.8,93
283,49.5,50.1,36.1,87.7,47.9,88.1,71.5,99.5,78.8,92.4
284,49,48.7,36.5,84.1,45.1,90.5,50.2,96.7,75.8,90.5
285,50.6,48.8,36.3,86.2,45.9,82.9,33.3,97,70.7,84.2
286,47.2,50.5,35.8,83.5,45.5,66.1,31.8,97.9,69.8,71.9
287,45.4,46.2,35.1,81.2,42.9,61.2,32.1,101,69.8,69.9
288,44.7,43.1,34.4,77.3,33.1,61.1,43.9,94.6,64.3,70.4
289,42.5,38.4,33.5,76,36.4,55.4,56,86.8,62.4,70.6
290,42.1,34.3,32.6,74.5,37.4,56.9,58.7,78.5,61.2,69.2
291,40.6,42.4,32.8,78.1,37.8,67.6,44.8,76.7,54.6,69
292,39.5,39,32.1,70.7,35.4,46.5,33.8,65.7,66,67.7
293,39,36.6,31,55.2,35.9,48.3,30.8,63.4,63.4,64.1
294,37.4,35.1,33.7,58.8,50.9,44.9,42.8,62.3,58.9,65.9
295,37.7,34.2,40.3,58.2,50.9,41.9,52.5,58.6,57.4,66.2
296,37.4,32.4,32.2,59.2,50.6,42.4,52.6,59.7,57,62.9
297,37.8,28.5,29.4,57.9,41.2,42.2,53.3,60.2,54.4,58.8
298,36.9,33.4,30.1,55,25.7,41.5,52.1,57.8,51.1,51.7
299,34.9,29.9,29.9,52,21.1,38.7,45.5,55.6,48.4,50.9
300,34.7,31.6,29.8,51.7,22.9,41.2,34,59,48.1,50.8
301,35.2,29.1,29.5,50.9,29.7,43.2,33.4,62.3,54.1,49.3
302,35.2,28.5,28,50.2,30.5,42.5,38.3,63.4,63.7,47.7
303,34.7,26.3,27.6,49.7,33.5,38.7,52.9,62.9,69.7,59.7
304,31.3,24.7,28.2,48.1,35.4,38.7,52.7,62.9,75.6,60.9
305,30.8,32,26,46.3,32.5,44,52.8,60.5,67.6,60.3
306,30.1,30,25.1,44.6,33.4,43,53.1,55.5,60.8,63.5
307,31.2,30.8,21.4,43.1,32.7,40.7,42.2,55.2,36.8,66.9
308,31.3,30.9,23.4,43.6,32.5,34.3,33.5,55.4,27.7,47.6
309,29.5,31.3,27,43.2,32.4,36.9,33.9,56.4,29.6,34
310,28.7,22.1,25.2,38.4,32.6,30.5,34,43.2,16.5,30.1
311,29.4,23.9,25.8,35.7,33,35.4,34.6,32.1,11.9,37.5
312,28.2,22.1,24.3,33.1,32.2,31.7,33.8,32.1,11.3,48.4
313,28.3,21.7,24.2,29.8,29.8,32.5,33.4,34.7,13.3,47.8
314,28.7,21,25.4,18.6,29.4,38.3,31.8,40.8,15.7,46
315,25,19.9,27.9,33.5,28,41.5,32.2,40.8,16.5,46.9
316,21.5,17.6,25.1,36.7,34.6,50.5,33,43.4,30.7,47.1
317,20.1,24.5,23.1,35.3,38.7,47.8,32.6,64.6,37.7,47.4
318,20.4,23,23.9,36.7,31.8,41.7,31.3,75,25,47.3
319,22.1,24.3,25.9,37,30,29.2,30.2,65,40.3,47.2
320,22.8,25.4,24.6,37.2,30.4,29.5,34.7,55.6,38.6,27
321,23.6,23.9,22.8,32.8,27.1,29.9,34.9,44.8,39.2,10
322,22.8,23.3,21.7,36,24.5,30.1,35,37.1,35.3,10.5
323,22.8,22.9,21.2,34.5,24.9,30,34.1,43.1,36.1,11.1
324,21.7,21.8,23,35.7,25.5,30.8,31.5,52.4,41.6,34.6
325,21,21.2,21.9,33.5,24.8,29.9,29.2,51.8,38.8,40.4
326,20.4,19.8,21.3,30.4,24.5,28.7,30,51.6,38.7,53.9
327,20.2,20.4,23.3,31.1,24.7,25.5,29.4,43.7,41.2,64
328,20.1,20.5,21.1,32.7,25.2,25.9,28.8,33.9,40.5,57.4
329,20.2,19.5,19.1,29.6,24.8,25.5,28.7,34.7,40.9,30.8
330,20.3,15.3,17.6,29.6,23.4,22.7,29,33.5,41,33.7
331,19.8,14.8,19.8,25.5,24.2,22.7,29.4,35,41.3,16.6
332,19.5,17.3,19.8,26.7,24.4,19.9,29.7,42.8,42.3,16.9
333,19,23.6,20.1,26.6,23.4,18.2,29.5,48.7,43.1,14.8
334,19.7,23.2,19.5,24.1,23.3,21.2,25.7,47.6,36.5,7.1
335,19.03,19.1,19.3,25.5,24.8,18.6,28.1,58.1,31.5,5.2
336,18.9,17.2,19.8,26.3,21.7,14.6,29.3,63,30.9,1.75
337,18.9,17.9,20.3,23.4,22,15.5,29.5,50.4,31.3,0
338,18.2,14.5,20.4,24.3,19.4,21.1,28.4,44.5,33.4,0
339,17.6,13.9,20.4,24.8,14,17.7,24.9,91.1,41.2,0
340,18.5,15.2,20,25.1,14,17.4,21.3,56,20,0
341,17.2,12.5,19.4,25.7,13.5,23.2,18.4,0,19,7.34
342,17.1,12.1,18.5,27.1,12.4,29.7,18.1,0,18.7,28
